concentration,bloc_correlation,bias_std,mean_expertise,panel_size,n_items,seed,n_trios,eie_error,mv_error,mean_abs_pair_corr
0.0,0.9,0.1,0.65,6,300,0,3,0.2106692699910996,0.2003821344977269,0.012782738095238092
0.0,0.9,0.1,0.65,6,300,1,6,0.22270473610955044,0.10453832015826653,0.013140256558264977
0.0,0.9,0.1,0.65,6,300,2,2,0.2055218910807336,0.1743720353914117,0.014084407421738554
0.0,0.9,0.1,0.65,6,300,3,6,0.18687625597870525,0.1625668409827064,0.05025787317314897
0.0,0.9,0.1,0.65,6,300,4,3,0.21905223317839861,0.1350111536484824,0.016426311642997248
0.0,0.9,0.1,0.65,6,300,5,3,0.17172193285171214,0.15787857642574576,0.023516582556435555
0.0,0.9,0.1,0.65,6,300,6,2,0.16464257529604354,0.1342936845682403,0.008784678293650275
0.0,0.9,0.1,0.65,6,300,7,4,0.11074545011655383,0.12582150173430642,0.01260804603044334
0.0,0.9,0.1,0.65,6,300,8,0,nan,nan,nan
0.0,0.9,0.1,0.65,6,300,9,1,0.23478109581697795,0.18676941705144756,0.06291527326327802
0.0,0.9,0.1,0.65,6,300,10,6,0.2001560981400667,0.188437611803415,0.025444140752114885
0.0,0.9,0.1,0.65,6,300,11,6,0.09098808302044309,0.07693444405257178,0.009251792134058282
0.0,0.9,0.1,0.65,6,300,12,6,0.15245421045023688,0.16585119242027738,0.06256893320766606
0.0,0.9,0.1,0.65,6,300,13,0,nan,nan,nan
0.0,0.9,0.1,0.65,6,300,14,5,0.2885943131568397,0.13504947854133026,0.01841015922058555
0.0,0.9,0.1,0.65,6,300,15,6,0.24316327912959998,0.17411633517663694,0.01445876875134474
0.0,0.9,0.1,0.65,6,300,16,1,0.2838046793916217,0.2704406327470358,0.06725203343855088
0.0,0.9,0.1,0.65,6,300,17,1,0.4761464672566153,0.179249594113529,0.021911111111111114
0.0,0.9,0.1,0.65,6,300,18,6,0.16980232752806734,0.16816184285150904,0.012322137071736431
0.0,0.9,0.1,0.65,6,300,19,3,0.16366849484215587,0.16742907134240195,0.0114903217507591
0.0,0.9,0.1,0.65,6,300,20,1,0.18198727824973204,0.09759905087738661,0.011801116548255221
0.0,0.9,0.1,0.65,6,300,21,4,0.2647175896346974,0.17647097967365222,0.05597675514166855
0.0,0.9,0.1,0.65,6,300,22,2,0.18823616037218086,0.19569473789386632,0.012835478217043126
0.0,0.9,0.1,0.65,6,300,23,1,0.15735585151646467,0.12673737533556617,0.01466356554330119
0.0,0.9,0.1,0.75,6,300,0,4,0.2604681026537391,0.22470710466353566,0.05075733418367347
0.0,0.9,0.1,0.75,6,300,1,6,0.05780491057529042,0.05279860915438154,0.008735220453337219
0.0,0.9,0.1,0.75,6,300,2,6,0.14414477540428783,0.10943247622239517,0.04372212003296916
0.0,0.9,0.1,0.75,6,300,3,6,0.06924463217012354,0.06798614587346305,0.011398798820937882
0.0,0.9,0.1,0.75,6,300,4,6,0.10459198599941459,0.09394234923227947,0.01248022705509933
0.0,0.9,0.1,0.75,6,300,5,6,0.121167409160319,0.10152242680298207,0.01846241490506027
0.0,0.9,0.1,0.75,6,300,6,6,0.15182722697518705,0.08670232869176187,0.012376883992742333
0.0,0.9,0.1,0.75,6,300,7,6,0.08017463766133491,0.11124191903887602,0.011581809214275332
0.0,0.9,0.1,0.75,6,300,8,1,0.26962185596970606,0.0834149794264536,0.007765234960511183
0.0,0.9,0.1,0.75,6,300,9,6,0.18917087913009864,0.12259327788180929,0.013805691232964663
0.0,0.9,0.1,0.75,6,300,10,6,0.16692687912085355,0.1524407992057194,0.012810592084559825
0.0,0.9,0.1,0.75,6,300,11,6,0.07197355367373003,0.0606489115484812,0.005139447002475052
0.0,0.9,0.1,0.75,6,300,12,6,0.13505681374824516,0.12121576860966077,0.011840386085699374
0.0,0.9,0.1,0.75,6,300,13,5,0.1299907649579864,0.12014144099351387,0.014215138847086533
0.0,0.9,0.1,0.75,6,300,14,6,0.09753982602761324,0.0863432679255013,0.010913853061676885
0.0,0.9,0.1,0.75,6,300,15,6,0.10691358170835646,0.12017818636371509,0.009728145337633809
0.0,0.9,0.1,0.75,6,300,16,5,0.15740643012631908,0.12086830140850716,0.0070739603582110995
0.0,0.9,0.1,0.75,6,300,17,2,0.19601775143166303,0.061830437446875844,0.010333333333333333
0.0,0.9,0.1,0.75,6,300,18,6,0.1015157398958788,0.09638163658897209,0.007269798819611854
0.0,0.9,0.1,0.75,6,300,19,6,0.1829764924845029,0.1374864574240234,0.016834832363367608
0.0,0.9,0.1,0.75,6,300,20,6,0.11184658822851501,0.07282045332882993,0.01061103035018393
0.0,0.9,0.1,0.75,6,300,21,6,0.11900336213112928,0.08144737150941121,0.012330161116633003
0.0,0.9,0.1,0.75,6,300,22,6,0.18323573520805536,0.11666248423425042,0.01287885561405532
