axis,strategy,bloc_correlation,bias_std,mean_expertise,panel_size,n_items,seed,n_trios,eie_error,mv_error,mean_abs_pair_corr
ideology,expertise_threshold,0.0,0.1,0.65,3,300,0,1,0.1170223023629693,0.06533061423261707,0.014029549319727892
ideology,expertise_threshold,0.0,0.1,0.65,3,300,1,1,0.0226681605125153,0.031090232308385108,0.0075335017946060205
ideology,expertise_threshold,0.0,0.1,0.65,3,300,2,1,0.03679724002700783,0.03773224199221485,0.004462286930960588
ideology,expertise_threshold,0.0,0.1,0.65,3,300,3,1,0.05068435354341061,0.03586371482524138,0.011200111525445013
ideology,expertise_threshold,0.0,0.1,0.65,3,300,4,1,0.015270528812806883,0.03314703554061578,0.007651133634353609
ideology,expertise_threshold,0.0,0.1,0.65,3,300,5,1,0.07725257503995453,0.04238154539524393,0.013386925747130752
ideology,expertise_threshold,0.0,0.1,0.65,3,300,6,1,0.04462510658143748,0.024589462274561397,0.008031329384961679
ideology,expertise_threshold,0.0,0.1,0.65,3,300,7,1,0.08769612322567916,0.040343246088821894,0.011399015559385191
ideology,expertise_threshold,0.0,0.1,0.65,3,300,8,1,0.08891212890902385,0.033930965531284094,0.007616362718500226
ideology,expertise_threshold,0.0,0.1,0.65,3,300,9,1,0.048820374924139896,0.10733748554224362,0.012807719682066059
ideology,expertise_threshold,0.0,0.1,0.65,3,300,10,1,0.12852653438645942,0.05759277481468813,0.01174258218768186
ideology,expertise_threshold,0.0,0.1,0.65,3,300,11,1,0.08329197859048307,0.04655424733547964,0.012356603584585048
ideology,expertise_threshold,0.0,0.1,0.65,3,300,12,1,0.04215298359448354,0.05618456822266212,0.008706283360044545
ideology,expertise_threshold,0.0,0.1,0.65,3,300,13,1,0.016763870635152427,0.022537524726417606,0.003376515955375397
ideology,expertise_threshold,0.0,0.1,0.65,3,300,14,1,0.022032665490322328,0.042238618012652364,0.00584413559886317
ideology,expertise_threshold,0.0,0.1,0.65,3,300,15,1,0.07104391388266999,0.0738442440779524,0.012852266407869274
ideology,expertise_threshold,0.0,0.1,0.65,3,300,16,1,0.04726542637983616,0.07399027563203939,0.010227626389447448
ideology,expertise_threshold,0.0,0.1,0.65,3,300,17,1,0.021251229003031096,0.031082220938214482,0.011703703703703702
ideology,expertise_threshold,0.0,0.1,0.65,3,300,18,1,0.14580753998961768,0.054167689957163645,0.01327437289977354
ideology,expertise_threshold,0.0,0.1,0.65,3,300,19,1,0.06592555795475152,0.03801919386339876,0.006966260361646118
ideology,expertise_threshold,0.0,0.1,0.65,3,300,20,1,0.02333907234415879,0.02521303031498821,0.010266408686690827
ideology,expertise_threshold,0.0,0.1,0.65,3,300,21,1,0.13951713684862815,0.04173374941407689,0.011300391214350678
ideology,expertise_threshold,0.0,0.1,0.65,3,300,22,1,0.03088709384662732,0.03719396245933182,0.00976244889139345
ideology,expertise_threshold,0.0,0.1,0.65,3,300,23,1,0.0687500790777706,0.028176255849836906,0.010729408476742704
ideology,expertise_threshold,0.0,0.1,0.65,6,300,0,6,0.09080270484053565,0.05550683200640099,0.014029549319727892
ideology,expertise_threshold,0.0,0.1,0.65,6,300,1,6,0.05886811449671938,0.058839182478220155,0.0075335017946060205
